episode,training_seed,q_table_size,best_total_reward_so_far,alpha,gamma,target_final_epsilon,risk_t1,risk_window,epsilon_decay,epsilon_min,random_seed,run_duration,due_date_lower_bound,due_date_upper_bound,rate_multiplier,risk_t2,agent_type,training,fixed_action,msg,n_orders_created,n_orders_completed,n_orders_in_date,n_orders_late,late_order_fraction,time_in_system_mean,time_in_system_std,time_in_system_min,time_in_system_max,wip_mean,wip_max,total_reward,n_eval_failures,n_decision_points,action_0_count,action_1_count,action_2_count,action_3_count,epsilon,preparation_capacity,sorting_capacity,analysis1_capacity,analysis2_capacity,evaluation_capacity,dispatching_capacity,worker_capacity,label,error
0,212345,10,353.0,0.5,0.869733629040495,0.1175342207949011,192.67104794888385,1329.0391020224338,0.9997859203436213,0.1175342207949011,212345,1440.0,4,8,0.9,1521.7101499713176,q_learning,True,,simulation ended,563,278,161,117,0.420863309352518,343.0082372754963,191.36503894109788,10.933230869630583,847.726215164129,137.650641715185,286,353.0,29,363,90,94,81,98,1.0,1,1,1,1,1,1,1,,
1,213345,12,353.0,0.5,0.869733629040495,0.1175342207949011,192.67104794888385,1329.0391020224338,0.9997859203436213,0.1175342207949011,213345,1440.0,4,8,0.9,1521.7101499713176,q_learning,True,,simulation ended,563,281,125,156,0.5551601423487544,381.9806687948044,217.73833530272682,11.144451947627218,882.6321175765328,148.4298230892036,283,-394.0,28,358,77,95,102,84,0.9997859203436213,1,1,1,1,1,1,1,,
2,214345,14,353.0,0.5,0.869733629040495,0.1175342207949011,192.67104794888385,1329.0391020224338,0.9997859203436213,0.1175342207949011,214345,1440.0,4,8,0.9,1521.7101499713176,q_learning,True,,simulation ended,607,276,126,150,0.5434782608695652,396.69578988774754,223.32442376585126,11.15922237361476,923.0972169970529,165.5248701235322,331,-342.0,34,359,85,92,87,95,0.999571886517342,1,1,1,1,1,1,1,,
3,215345,14,353.0,0.5,0.869733629040495,0.1175342207949011,192.67104794888385,1329.0391020224338,0.9997859203436213,0.1175342207949011,215345,1440.0,4,8,0.9,1521.7101499713176,q_learning,True,,simulation ended,566,274,120,154,0.5620437956204379,424.6358341816903,243.61357900012428,13.97865592152119,997.8825557441794,161.15841684163917,296,-433.0,31,358,89,72,102,95,0.9993578985113506,1,1,1,1,1,1,1,,
4,216345,16,353.0,0.5,0.869733629040495,0.1175342207949011,192.67104794888385,1329.0391020224338,0.9997859203436213,0.1175342207949011,216345,1440.0,4,8,0.9,1521.7101499713176,q_learning,True,,simulation ended,559,277,137,140,0.5054151624548736,375.59728537500564,202.46061784285914,10.280748546978902,843.4602138119737,146.53615878575187,282,-129.0,33,354,82,94,101,77,0.999143956315838,1,1,1,1,1,1,1,,
5,217345,16,353.0,0.5,0.869733629040495,0.1175342207949011,192.67104794888385,1329.0391020224338,0.9997859203436213,0.1175342207949011,217345,1440.0,4,8,0.9,1521.7101499713176,q_learning,True,,simulation ended,520,277,141,136,0.49097472924187724,377.9352342114225,207.91955304619998,22.041852979509542,903.2792845555803,134.778818140558,243,-49.0,33,363,89,92,94,88,0.998930059920997,1,1,1,1,1,1,1,,
6,218345,16,353.0,0.5,0.869733629040495,0.1175342207949011,192.67104794888385,1329.0391020224338,0.9997859203436213,0.1175342207949011,218345,1440.0,4,8,0.9,1521.7101499713176,q_learning,True,,simulation ended,570,280,126,154,0.55,405.1607852702511,227.07130064529832,11.89061371139483,1068.225338189815,153.09556150193993,290,-382.0,34,353,107,75,86,85,0.9987162093170229,1,1,1,1,1,1,1,,
7,219345,16,353.0,0.5,0.869733629040495,0.1175342207949011,192.67104794888385,1329.0391020224338,0.9997859203436213,0.1175342207949011,219345,1440.0,4,8,0.9,1521.7101499713176,q_learning,True,,simulation ended,575,274,142,132,0.48175182481751827,347.1016224630479,214.06977221652065,12.058029675190001,851.0368404381304,143.92091364009275,301,-11.0,37,356,85,83,96,92,0.9985024044941125,1,1,1,1,1,1,1,,
8,220345,17,353.0,0.5,0.869733629040495,0.1175342207949011,192.67104794888385,1329.0391020224338,0.9997859203436213,0.1175342207949011,220345,1440.0,4,8,0.9,1521.7101499713176,q_learning,True,,simulation ended,589,288,136,152,0.5277777777777778,383.006763791707,218.37086442349622,9.283860017249422,770.0694652571957,162.54815985747766,301,-229.0,23,359,91,85,84,99,0.9982886454424652,1,1,1,1,1,1,1,,
9,221345,18,353.0,0.5,0.869733629040495,0.1175342207949011,192.67104794888385,1329.0391020224338,0.9997859203436213,0.1175342207949011,221345,1440.0,4,8,0.9,1521.7101499713176,q_learning,True,,simulation ended,591,287,137,150,0.5226480836236934,375.40782331726695,232.1554734468313,9.787909181712603,886.2804968755348,157.03966180786122,304,-193.0,21,359,80,93,106,80,0.9980749321522822,1,1,1,1,1,1,1,,
10,222345,18,353.0,0.5,0.869733629040495,0.1175342207949011,192.67104794888385,1329.0391020224338,0.9997859203436213,0.1175342207949011,222345,1440.0,4,8,0.9,1521.7101499713176,q_learning,True,,simulation ended,569,274,108,166,0.6058394160583942,415.5159353185925,217.5872964155969,13.678484206979455,816.8176986834178,158.3912279723858,296,-667.0,29,352,85,102,91,74,0.9978612646137669,1,1,1,1,1,1,1,,
11,223345,18,353.0,0.5,0.869733629040495,0.1175342207949011,192.67104794888385,1329.0391020224338,0.9997859203436213,0.1175342207949011,223345,1440.0,4,8,0.9,1521.7101499713176,q_learning,True,,simulation ended,548,282,150,132,0.46808510638297873,348.8282891153434,190.8706696609267,9.797021738823169,836.4611014919623,127.71923702297609,266,90.0,30,353,91,89,86,87,0.9976476428171248,1,1,1,1,1,1,1,,
12,224345,18,353.0,0.5,0.869733629040495,0.1175342207949011,192.67104794888385,1329.0391020224338,0.9997859203436213,0.1175342207949011,224345,1440.0,4,8,0.9,1521.7101499713176,q_learning,True,,simulation ended,551,271,128,143,0.5276752767527675,381.1106638671224,213.46069968574832,11.669811575629993,844.0623172256305,136.2953549376693,281,-279.0,43,355,97,69,83,106,0.9974340667525635,1,1,1,1,1,1,1,,
13,225345,18,353.0,0.5,0.869733629040495,0.1175342207949011,192.67104794888385,1329.0391020224338,0.9997859203436213,0.1175342207949011,225345,1440.0,4,8,0.9,1521.7101499713176,q_learning,True,,simulation ended,576,289,145,144,0.4982698961937716,357.05102462538366,195.74736884322803,11.81727032503918,783.9106986072121,139.80352588655072,287,-62.0,24,361,98,88,95,80,0.9972205364102927,1,1,1,1,1,1,1,,
14,226345,18,353.0,0.5,0.869733629040495,0.1175342207949011,192.67104794888385,1329.0391020224338,0.9997859203436213,0.1175342207949011,226345,1440.0,4,8,0.9,1521.7101499713176,q_learning,True,,simulation ended,584,275,141,134,0.48727272727272725,367.8235705008614,213.57552702332458,8.724120623498804,976.286195548209,147.7804338092262,309,-8.0,26,357,79,89,90,99,0.9970070517805243,1,1,1,1,1,1,1,,
15,227345,18,353.0,0.5,0.869733629040495,0.1175342207949011,192.67104794888385,1329.0391020224338,0.9997859203436213,0.1175342207949011,227345,1440.0,4,8,0.9,1521.7101499713176,q_learning,True,,simulation ended,615,288,130,158,0.5486111111111112,402.50397963547744,228.27023963312953,24.575305908197024,990.7078284900585,169.63724911391915,327,-361.0,27,358,87,79,110,82,0.996793612853472,1,1,1,1,1,1,1,,
